distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun
28.0,5.0,26,21.5,12,E10,0,0,0
12.0,4.2,30,21.5,13,E10,0,0,0
11.199999809265137,5.5,38,21.5,15,E10,0,0,0
12.899999618530273,3.9,36,21.5,14,E10,0,0,0
18.5,4.5,46,21.5,15,E10,0,0,0
8.300000190734863,6.4,50,21.5,10,E10,0,0,0
7.800000190734863,4.4,43,21.5,11,E10,0,0,0
12.300000190734863,5.0,40,21.5,6,E10,0,0,0
4.900000095367432,6.4,26,21.5,4,E10,0,0,0
11.899999618530273,5.3,30,21.5,9,E10,0,0,0
12.399999618530273,5.6,42,21.5,4,E10,0,0,0
11.800000190734863,4.6,38,21.5,0,E10,0,0,0
12.300000190734863,5.9,59,21.5,10,E10,0,0,0
24.700000762939453,5.1,58,21.5,12,E10,0,0,0
12.399999618530273,4.7,46,21.5,11,E10,0,0,0
17.299999237060547,5.1,24,21.5,5,E10,0,0,0
33.400001525878906,5.6,36,21.5,3,E10,0,0,0
11.800000190734863,5.1,32,21.5,3,E10,0,0,0
25.899999618530273,4.9,39,21.5,8,E10,0,0,0
11.800000190734863,4.7,40,21.5,4,E10,0,0,0
25.299999237060547,5.5,32,21.5,3,E10,0,0,0
14.199999809265137,5.9,38,21.5,1,E10,0,0,0
17.899999618530273,5.7,37,21.5,1,E10,0,0,0
11.800000190734863,4.7,36,21.5,1,E10,0,0,0
12.300000190734863,5.9,62,21.5,6,E10,0,0,0
12.399999618530273,4.1,57,21.5,9,E10,0,0,0
18.399999618530273,5.7,21,22.5,2,E10,0,0,0
18.399999618530273,5.8,28,21.5,3,E10,0,0,0
18.299999237060547,5.5,29,21.5,1,E10,0,0,0
18.399999618530273,5.7,35,21.5,4,E10,0,0,0
12.300000190734863,5.3,51,21.5,11,E10,0,0,0
11.800000190734863,5.0,29,21.5,10,E10,0,0,0
12.300000190734863,5.6,58,21.5,8,E10,0,0,0
32.599998474121094,4.8,40,21.5,7,E10,0,0,0
19.0,4.3,36,21.5,7,E10,0,0,0
12.100000381469727,5.7,36,21.5,8,E10,0,0,0
20.0,5.2,37,21.5,4,E10,0,0,0
4.900000095367432,7.4,26,21.5,6,E10,0,0,0
11.800000190734863,4.8,23,21.5,9,E10,0,0,0
12.300000190734863,6.5,58,21.5,7,E10,0,0,0
12.399999618530273,4.0,55,21.5,7,E10,1,1,0
4.5,5.0,29,21.5,7,E10,1,0,0
11.699999809265137,4.6,37,21.5,6,E10,0,0,0
10.199999809265137,4.3,44,21.5,7,E10,0,0,0
5.400000095367432,3.3,32,21.5,7,SP98,0,0,0
2.0,8.3,21,21.5,4,SP98,0,0,0
14.199999809265137,5.1,32,21.5,7,SP98,0,0,0
16.0,4.9,25,21.5,8,SP98,0,0,0
11.800000190734863,4.9,25,21.5,11,SP98,0,0,0
27.299999237060547,4.7,36,21.5,10,SP98,0,0,0
11.800000190734863,5.1,29,21.5,5,SP98,0,1,0
10.600000381469727,4.9,63,21.5,6,SP98,0,0,0
11.600000381469727,4.2,61,21.5,7,SP98,0,0,0
13.100000381469727,6.1,46,21.5,6,SP98,0,1,0
6.099999904632568,6.4,28,21.5,8,SP98,0,0,0
40.59999942779541,4.9,82,21.5,3,SP98,0,1,0
11.800000190734863,4.9,24,21.5,7,SP98,0,0,0
12.300000190734863,6.2,61,21.5,8,SP98,0,0,0
12.399999618530273,4.2,57,21.5,8,SP98,0,0,0
12.300000190734863,5.7,52,21.5,8,SP98,0,1,0
2.9000000953674316,7.9,18,21.5,9,SP98,1,1,0
2.0999999046325684,8.3,23,21.5,9,SP98,1,1,0
9.800000190734863,5.8,24,21.5,6,SP98,0,0,0
6.800000190734863,5.3,26,21.5,6,SP98,0,0,0
12.399999618530273,5.4,24,21.5,7,SP98,0,0,0
12.399999618530273,4.7,57,21.5,8,SP98,0,0,0
11.800000190734863,4.6,41,21.5,6,SP98,0,0,0
12.300000190734863,5.4,55,21.5,8,SP98,0,0,0
14.0,4.3,40,21.5,8,SP98,0,0,0
11.800000190734863,4.5,37,21.5,4,SP98,1,0,0
12.300000190734863,5.2,55,21.5,12,SP98,0,0,0
2.0,6.2,20,21.5,10,SP98,0,0,0
13.899999618530273,5.1,29,21.5,6,SP98,0,0,0
9.699999809265137,3.9,42,21.5,8,SP98,0,0,0
11.600000381469727,5.0,25,21.5,6,SP98,0,0,0
14.199999809265137,5.4,38,21.5,7,SP98,0,0,0
11.800000190734863,4.5,39,21.5,6,SP98,0,0,0
24.799999237060547,5.1,50,21.5,9,SP98,0,0,0
12.399999618530273,4.7,56,21.5,7,SP98,0,0,0
34.79999923706055,4.0,28,20.0,4,SP98,0,0,0
14.199999809265137,5.4,36,20.0,6,SP98,0,0,0
5.199999809265137,4.5,39,20.0,10,SP98,0,0,0
10.5,3.6,42,20.0,10,SP98,0,0,0
12.300000190734863,5.2,57,20.0,10,SP98,0,0,0
11.800000190734863,4.9,25,20.0,11,SP98,0,0,0
12.300000190734863,6.2,58,20.0,11,SP98,0,1,0
13.199999809265137,4.3,51,20.0,11,SP98,0,1,0
13.0,5.0,45,20.0,11,SP98,0,1,0
12.899999618530273,5.1,32,20.0,11,SP98,0,0,0
13.899999618530273,5.6,22,20.0,8,SP98,0,0,0
11.800000190734863,4.3,37,20.0,6,SP98,0,0,0
12.199999809265137,5.8,60,20.0,11,SP98,0,0,0
12.5,4.0,51,20.0,13,SP98,0,0,0
12.399999618530273,4.7,43,22.0,10,SP98,0,0,0
11.800000190734863,5.9,21,20.0,9,SP98,1,1,0
11.800000190734863,5.3,52,22.0,11,SP98,0,0,0
12.5,4.2,57,20.0,11,SP98,0,0,0
15.699999809265137,5.3,33,22.0,9,SP98,0,0,0
12.899999618530273,5.7,35,22.0,9,SP98,0,0,0
6.400000095367432,4.4,37,22.0,10,SP98,0,0,0
5.300000190734863,4.1,34,22.0,9,SP98,0,0,0
26.200000762939453,5.8,71,21.0,8,SP98,1,1,0
18.799999237060547,5.0,62,22.0,9,SP98,0,1,0
4.900000095367432,6.9,25,21.0,12,SP98,0,1,0
12.399999618530273,5.4,18,21.0,11,SP98,1,1,0
22.899999618530273,5.3,45,20.5,7,SP98,0,0,0
40.59999942779541,5.5,75,23.0,1,SP98,0,0,0
4.900000095367432,6.5,26,21.0,1,SP98,0,0,0
11.800000190734863,4.7,36,21.0,4,SP98,0,0,0
16.600000381469727,5.1,56,21.0,7,SP98,0,0,0
12.399999618530273,5.7,37,21.0,7,SP98,0,0,0
15.899999618530273,5.4,25,21.0,7,SP98,0,0,0
5.099999904632568,8.3,21,23.5,5,SP98,0,0,0
22.399999618530273,4.9,66,20.5,7,SP98,0,0,0
31.100000381469727,4.7,42,20.5,7,SP98,0,0,0
4.900000095367432,6.3,27,20.5,3,SP98,0,0,0
11.800000190734863,5.1,26,23.0,4,SP98,0,1,0
22.899999618530273,6.0,42,23.0,4,SP98,0,1,0
12.399999618530273,4.6,38,23.0,1,SP98,0,1,0
12.899999618530273,5.8,40,23.0,4,SP98,0,0,0
11.800000190734863,5.1,43,23.0,0,SP98,0,0,0
12.199999809265137,5.8,58,23.0,2,SP98,0,0,0
24.799999237060547,4.6,55,23.0,3,SP98,0,0,0
14.199999809265137,5.6,24,23.0,8,SP98,0,0,0
11.800000190734863,4.6,38,23.0,0,SP98,0,1,0
12.199999809265137,6.3,57,23.0,0,SP98,0,1,0
24.700000762939453,5.5,56,25.0,1,SP98,0,0,0
6.800000190734863,4.3,46,24.0,2,SP98,0,0,0
17.299999237060547,5.6,37,21.5,1,SP98,0,0,0
